g_Na,g_K,injCurrent
197.4934675,19.47578534,16.53311631
61.043411,17.0910516,0.878055372
54.32838379,30.39445262,11.55389144
72.35944202,35.91390987,1.632886936
287.0492354,1.59402177,9.531015583
280.2930866,38.33151468,5.731924399
123.5296961,14.39363501,17.26655753
96.47389885,0.540613582,7.034147553
53.09600005,1.68860338,0.268510166
297.2354311,39.60039366,1.120819231
211.1618348,25.75024845,0.683766587
210.7180985,4.385452141,0.333778219
100.970594,2.348753085,11.72279732
112.6658481,9.395804003,8.568982402
229.8557321,38.30043722,18.02007366
294.9245226,18.62918396,0.570943283
135.3218878,39.93775989,15.37200257
153.4599932,0.827608549,14.11100558
298.0388757,20.94462671,12.25407349
63.71301384,39.81086181,11.3729539
52.23654125,6.559212443,13.87894746
152.8818168,0.677692816,0.508661991
243.6860866,6.896241717,14.58456849
130.2912122,17.94483973,0.106604195
297.2455463,28.79926904,8.898680533
97.43125188,9.385207502,0.016904422
59.81199315,6.354783293,9.310227181
165.9038694,16.9301364,6.823677004
55.25791327,3.094568868,19.20732343
296.7931259,8.025685857,19.44937538
192.3999593,23.38788918,9.97958769
254.0062556,29.35801361,19.58670626
50.61556557,27.47838516,0.744051028
137.4635981,6.106155173,4.691613442
291.1472108,22.39654878,17.84065095
218.1505981,0.190283264,11.93088298
298.7001447,25.03323558,3.777841757
101.6255108,28.26425898,7.622430557
247.458462,16.14733753,10.05482956
237.6098759,20.28705869,19.7704827
201.979444,28.57836901,17.84661783
256.5164452,17.00952743,15.38011409
296.4012515,11.81549087,5.065246345
155.771339,28.30881926,0.136710831
97.32675405,39.53653134,7.066537447
173.0226721,37.98947467,19.63308744
283.3252868,0.462464927,16.61222936
299.128542,7.047797787,1.187557599
119.0229213,36.49571181,11.41369976
50.88601601,32.75687464,5.577779949
178.8928881,10.68383298,17.81026409
299.4192767,19.57062407,7.402702227
236.3546082,10.99403031,19.44685562
143.2979921,35.49891191,4.883460317
241.8834277,33.71161465,9.432833283
76.65496893,11.36332902,19.78477706
53.71650952,24.60982455,15.07467004
106.2486904,19.26380015,6.928773434
296.8259712,12.0368418,13.24946256
156.4186207,39.86438716,0.645181992
52.27358028,16.91818,5.880287686
178.8691015,1.023102387,7.006534293
85.24532114,23.75160528,19.46251885
50.281479,31.6315615,19.82079914
229.7388352,24.25290969,5.66450593
282.7733279,39.48199154,19.74066913
67.12868647,6.14699578,4.216163048
219.7518717,32.55557571,13.5336931
109.5846184,13.6320989,12.66903553
238.8242509,1.094432175,19.79448639
247.2118942,13.65566206,0.72195818
149.0946011,24.61099457,18.6529104
247.4277562,25.26402166,11.13858174
149.1784666,21.3227503,13.45952737
112.3736564,35.51949213,19.103876
297.0656897,37.90665083,11.37713673
163.6469564,25.24572641,4.902632651
134.7556544,3.801437765,18.12488154
98.43897367,24.51862917,11.72922336
236.3214531,6.269339053,8.347805859
290.326738,31.22066429,16.02382721
171.0465619,11.24723279,1.439372253
227.9509443,38.89181023,0.017817492
261.760332,31.40098312,0.911735076
216.9313627,9.436272366,4.139779966
101.9689367,25.53854047,2.893218166
60.68371607,39.44936079,15.96651267
279.5289713,0.369805377,4.43951947
