"g_Na","g_K"
104.580054098752,30.7451309964918
199.511672482558,27.2517828829782
97.4439038513519,27.6587496427717
85.36811836001,24.0741450590203
101.072477986844,12.2124502938734
212.424548574648,29.5140279571926
185.471301769273,25.0997000662722
72.1824807110766,21.5037212128984
112.233831768378,34.4898762677908
58.7006610029202,4.38154441670608
168.297013604629,21.5756963369064
125.77967655976,38.2962086478435
55.4205164858664,19.2649085096912
90.2635817738017,3.50841494772304
116.67335396682,16.7105136118699
100.800373823207,6.10857541137934
235.631276641903,31.6790289638545
286.094644223171,39.6489956853939
151.497711308626,19.3226012987299
266.722000764986,35.4519813779201
