"g_Na","g_K"
92.2282534868748,10.5728208363717
203.985735759727,27.0671241754852
74.1764056053769,8.45931890181731
54.0104328578047,16.4816564722024
81.0631693231524,15.114978240489
141.294104852411,17.4487696049809
273.063868782873,37.9537948911414
241.666261021927,33.0340054296684
87.4650555947796,18.8541232256377
161.711444256146,19.1609038698925
181.665007363434,22.5083470310979
223.05437149913,30.0056704579825
119.494987000426,34.5473281409228
96.9616296897992,27.8683336407272
53.2898583435628,9.74960038540978
108.041180821741,31.0864549485426
297.181021102634,39.7733982006833
86.1815169232374,23.9333498769579
123.605061575427,14.9622806447279
119.138173325371,38.2161590643739
