"g_Na","g_K"
132.408388414944,35.3139266693741
104.773653625854,24.0131418336788
121.482088940154,21.3609430988021
233.121892190236,39.6968411857178
212.318985179823,30.1399547634004
208.314025364583,24.7705773993907
136.483603331941,39.1235382543774
107.246348635148,27.8450201605931
129.609844700713,30.5738180642612
258.585960764199,39.9313760012826
186.619086051878,22.1380175409755
131.462759647105,24.7550738108624
106.455559445551,39.5614079370731
162.782371893479,21.9722566785077
144.909961494105,19.5041732394407
106.909401409514,35.6299216392292
247.160298484843,36.1845198907405
236.335066879058,30.998125401495
182.305573348148,26.0277370881662
225.39703792294,34.3894423219562
